index,trial_code,sentence,status,target,target_filename,competitor,competitor_filename,Distractor1,Distractor1_filename,Distractor2,Distractor2_filename,Distractor3,Distractor3_filename,audio_tag
46,pred_net,He caught the fish in his net,filler,net,PICTURE_346.png,NA,NA,chair,PICTURE_122.png,razor,PICTURE_311.png,lighthouse,PICTURE_540.png,2
47,pred_orchestra,He is a violinist in the orchestra,filler,orchestra,PICTURE_70.png,NA,NA,ball,PICTURE_732.png,salt,PICTURE_233.png,wardrobe,PICTURE_458.png,2
48,pred_pool,The swimmer dove into the pool,filler,pool,PICTURE_362.png,NA,NA,elevator,PICTURE_104.png,birdcage,PICTURE_290.png,face,PICTURE_510.png,1
49,pred_rope,He tossed the drowning man a rope,filler,rope,PICTURE_517.png,NA,NA,moon,PICTURE_90.png,chameleon,PICTURE_269.png,pizza,PICTURE_489.png,2
50,pred_rug,She hated to vacuum the rug,filler,rug,PICTURE_491.png,NA,NA,calendar,PICTURE_108.png,dinosaur,PICTURE_293.png,lips,PICTURE_513.png,1
51,pred_scissors,He cut the papers with scissors,filler,scissors,PICTURE_453.png,NA,NA,hunter,PICTURE_16.png,plate,PICTURE_234.png,foot,PICTURE_455.png,1
52,pred_sheep,The shepherd watched his flock of sheep,filler,sheep,PICTURE_636.png,NA,NA,maze,PICTURE_121.png,ice cream,PICTURE_309.png,branch,PICTURE_536.png,2
53,pred_skirt,She shortened the hem of her skirt,filler,skirt,PICTURE_199.png,NA,NA,crutch,PICTURE_88.png,bed,PICTURE_268.png,oil,PICTURE_456.png,2
54,pred_sponge,He wiped the sink with a sponge,filler,sponge,PICTURE_650.png,NA,NA,hair,PICTURE_102.png,forest,PICTURE_288.png,underwear,PICTURE_545.png,1
55,pred_spoon,Stir your coffee with a spoon,filler,spoon,PICTURE_564.png,NA,NA,helicopter,PICTURE_80.png,butcher,PICTURE_254.png,lightning,PICTURE_506.png,1
56,pred_stamp,Air mail requires a special stamp,filler,stamp,PICTURE_57.png,NA,NA,lake,PICTURE_113.png,die,PICTURE_308.png,fingerprint,PICTURE_537.png,2
57,pred_swan,The duck swam with the white swan,filler,swan,PICTURE_528.png,NA,NA,mouth,PICTURE_91.png,limo,PICTURE_283.png,calculator,PICTURE_516.png,1
58,pred_sword,He killed the dragon with his sword,filler,sword,PICTURE_301.png,NA,NA,river,PICTURE_86.png,heel,PICTURE_266.png,pig,PICTURE_446.png,2
59,pred_thermometer,She took her temperature with a thermometer,filler,thermometer,PICTURE_192.png,NA,NA,banana,PICTURE_69.png,wagon,PICTURE_248.png,pyramid,PICTURE_457.png,1
60,pred_truck,We shipped the furniture by truck,filler,truck,PICTURE_535.png,NA,NA,seal,PICTURE_92.png,arrow,PICTURE_270.png,kangaroo,PICTURE_479.png,2
61,pred_tub,Paul took a bath in the tub,filler,tub,PICTURE_747.png,NA,NA,desk,PICTURE_110.png,flag,PICTURE_295.png,walrus,PICTURE_529.png,1
62,pred_turkey,On Thanksgiving his family eats turkey,filler,turkey,PICTURE_19.png,NA,NA,balloon,PICTURE_75.png,shovel,PICTURE_255.png,rose,PICTURE_480.png,1
63,unpred_asparagus,We're speaking about the asparagus,filler,asparagus,PICTURE_581.png,NA,NA,bullet,PICTURE_155.png,car,PICTURE_358.png,toad,PICTURE_584.png,2
64,unpred_baby,I want to speak about the baby,filler,baby,PICTURE_507.png,NA,NA,road,PICTURE_164.png,gorilla,PICTURE_380.png,cloud,PICTURE_599.png,2
65,unpred_battery,Bill heard we talked about the battery,filler,battery,PICTURE_656.png,NA,NA,faucet,PICTURE_140.png,night,PICTURE_342.png,cucumber,PICTURE_559.png,1
66,unpred_beard,Jane did not speak about the beard,filler,beard,PICTURE_159.png,NA,NA,rain,PICTURE_190.png,steering wheel,PICTURE_398.png,cactus,PICTURE_640.png,2
67,unpred_boat,The man should discuss the boat,filler,boat,PICTURE_482.png,NA,NA,pharmacy,PICTURE_173.png,chain,PICTURE_391.png,sweater,PICTURE_607.png,2
68,unpred_book,I should have considered the book,filler,book,PICTURE_505.png,NA,NA,goal,PICTURE_170.png,strawberry,PICTURE_381.png,dynamite,PICTURE_634.png,2
69,unpred_boy,Ruth must have known about the boy,filler,boy,PICTURE_499.png,NA,NA,parrot,PICTURE_172.png,stapler,PICTURE_387.png,cemetary,PICTURE_603.png,1
70,unpred_bridge,Tom will discuss the bridge,filler,bridge,PICTURE_178.png,NA,NA,soccer ball,PICTURE_185.png,teapot,PICTURE_392.png,pelican,PICTURE_662.png,1
71,unpred_bus,Jane wants to speak about the bus,filler,bus,PICTURE_273.png,NA,NA,rat,PICTURE_137.png,tomato,PICTURE_326.png,eyebrow,PICTURE_578.png,1
72,unpred_chocolate,He can't consider the chocolate,filler,chocolate,PICTURE_593.png,NA,NA,puddle,PICTURE_150.png,butterfly,PICTURE_351.png,juggler,PICTURE_572.png,2
73,unpred_city,Bill can't have considered the city,filler,city,PICTURE_187.png,NA,NA,engine,PICTURE_186.png,fig,PICTURE_397.png,soap,PICTURE_619.png,2
74,unpred_coat,I was considering the coat,filler,coat,PICTURE_644.png,NA,NA,doll,PICTURE_128.png,leaf,PICTURE_318.png,shark,PICTURE_533.png,2
75,unpred_coffee,We would consider the coffee,filler,coffee,PICTURE_666.png,NA,NA,sunflower,PICTURE_141.png,lock,PICTURE_349.png,vulture,PICTURE_563.png,1
76,unpred_door,The man could consider the door,filler,door,PICTURE_546.png,NA,NA,tie,PICTURE_161.png,hedgehog,PICTURE_365.png,lettuce,PICTURE_592.png,2
77,unpred_fence,Bob could have known about the fence,filler,fence,PICTURE_530.png,NA,NA,coconut,PICTURE_163.png,scorpion,PICTURE_370.png,window,PICTURE_597.png,2
78,unpred_fridge,You heard Jane called about the fridge,filler,fridge,PICTURE_138.png,NA,NA,singer,PICTURE_131.png,present,PICTURE_338.png,caterpillar,PICTURE_561.png,1
79,unpred_frog,He should know about the frog,filler,frog,PICTURE_612.png,NA,NA,glass,PICTURE_142.png,monster,PICTURE_337.png,watermelon,PICTURE_560.png,1
80,unpred_glasses,Nancy didn't discuss the glasses,filler,glasses,PICTURE_733.png,NA,NA,corner,PICTURE_124.png,owl,PICTURE_323.png,breakfast,PICTURE_555.png,1
81,unpred_gun,They heard I called about the gun,filler,gun,PICTURE_461.png,NA,NA,salad,PICTURE_191.png,purse,PICTURE_388.png,umbrella,PICTURE_653.png,1
82,unpred_harp,Nancy had considered the harp,filler,harp,PICTURE_605.png,NA,NA,keyhole,PICTURE_149.png,bell pepper,PICTURE_348.png,gloves,PICTURE_576.png,1
83,unpred_hotdog,He would think about the hot dog,filler,hot dog,PICTURE_627.png,NA,NA,wound,PICTURE_118.png,perfume,PICTURE_314.png,bat,PICTURE_547.png,1
84,unpred_house,He wants to talk about the house,filler,house,PICTURE_522.png,NA,NA,boomerang,PICTURE_209.png,cauliflower,PICTURE_373.png,koala,PICTURE_601.png,2
85,unpred_iceberg,Bill hopes Paul heard about the iceberg,filler,iceberg,PICTURE_577.png,NA,NA,domino,PICTURE_154.png,guitar,PICTURE_357.png,corn,PICTURE_587.png,2
86,unpred_kite,We heard they called about the kite,filler,kite,PICTURE_535.png,NA,NA,shoelace,PICTURE_167.png,whale,PICTURE_724.png,funnel,PICTURE_633.png,1
87,unpred_lighter,You're glad they heard about the lighter,filler,lighter,PICTURE_558.png,NA,NA,wheelbarrow,PICTURE_160.png,dolphin,PICTURE_361.png,sled,PICTURE_625.png,2
88,unpred_magnet,Tom discussed the magnet,filler,magnet,PICTURE_571.png,NA,NA,snail,PICTURE_152.png,goat,PICTURE_354.png,lab,PICTURE_582.png,2
89,unpred_painter,We have discussed the painter,filler,painter,PICTURE_175.png,NA,NA,witch,PICTURE_184.png,dragonfly,PICTURE_404.png,airport,PICTURE_617.png,2
90,unpred_piano,She hears Bob asked about the piano,filler,piano,PICTURE_626.png,NA,NA,horse,PICTURE_117.png,barber,PICTURE_313.png,Apple,PICTURE_552.png,1
91,unpred_plant,I'm glad you heard about the plant,filler,plant,PICTURE_611.png,NA,NA,trash can,PICTURE_145.png,flipper,PICTURE_341.png,beak,PICTURE_575.png,1
92,unpred_prison,I had not thought about the prison,filler,prison,PICTURE_623.png,NA,NA,olive,PICTURE_146.png,ruler,PICTURE_336.png,bull,PICTURE_570.png,2
93,unpred_pumpkin,I've spoken about the pumpkin,filler,pumpkin,PICTURE_551.png,NA,NA,alligator,PICTURE_189.png,fan,PICTURE_368.png,towel,PICTURE_591.png,2
94,unpred_rifle,Bill might discuss the rifle,filler,rifle,PICTURE_645.png,NA,NA,sack,PICTURE_127.png,cow,PICTURE_319.png,bracelet,PICTURE_588.png,2
95,unpred_scar,The boy can't talk about the scar,filler,scar,PICTURE_207.png,NA,NA,lemon,PICTURE_129.png,UFO,PICTURE_315.png,puppet,PICTURE_554.png,1
96,unpred_shirt,They had a problem with the shirt,filler,shirt,PICTURE_353.png,NA,NA,ghost,PICTURE_139.png,helmet,PICTURE_327.png,wolf,PICTURE_557.png,1
97,unpred_snow,She hopes Jane called about the snow,filler,snow,PICTURE_390.png,NA,NA,triangle,PICTURE_181.png,anchor,PICTURE_405.png,honey,PICTURE_610.png,1
98,unpred_soldier,The man would not discuss the soldier,filler,soldier,PICTURE_317.png,NA,NA,pipe,PICTURE_148.png,bible,PICTURE_350.png,eggplant,PICTURE_573.png,2
99,unpred_submarine,She has known about the submarine,filler,submarine,PICTURE_514.png,NA,NA,back,PICTURE_169.png,lobster,PICTURE_378.png,cube,PICTURE_595.png,1
100,unpred_tattoo,Bill cannot consider the tattoo,filler,tattoo,PICTURE_413.png,NA,NA,mushroom,PICTURE_177.png,ballerina,PICTURE_399.png,pencil case,PICTURE_609.png,1
101,unpred_telescope,Bob has discussed the telescope,filler,telescope,PICTURE_699.png,NA,NA,kiwi,PICTURE_125.png,bra,PICTURE_331.png,snake,PICTURE_549.png,1
102,unpred_toaster,She's glad Jane asked about the toaster,filler,toaster,PICTURE_562.png,NA,NA,cigarette,PICTURE_153.png,spear,PICTURE_367.png,elephant,PICTURE_579.png,1
103,unpred_tree,Ruth hopes he heard about the tree,filler,tree,PICTURE_693.png,NA,NA,parachute,PICTURE_126.png,butter,PICTURE_335.png,syringe,PICTURE_594.png,1
104,unpred_zebra,The class is discussing the zebra,filler,zebra,PICTURE_379.png,NA,NA,recorder,PICTURE_156.png,pot,PICTURE_369.png,iron,PICTURE_586.png,1
